Proteins	Description	Gene	Contam	Decoy	exp_WT_1	exp_WT_2	exp_WT_3	exp_GFP_1	exp_GFP_2	exp_GFP_3
7806	>sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	HSP90AB1	0	0	24	29	26	18	13	21
16701	>sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1	TUBB6	0	0	10	10	11	9	7	7
7685	>sp|P07900|HS90A_HUMAN Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	HSP90AA1	0	0	10	10	7	6	6	5
495	>sp|Q16352|AINX_HUMAN Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2	INA	0	0	17	23	20	0	0	0
15276	>sp|P23396|RS3_HUMAN 40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2	RPS3	0	0	28	24	21	20	19	20
7359	>sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1 PE=1 SV=2	GIT1	0	0	22	19	25	0	0	0
2708	>sp|Q5SW79|CE170_HUMAN Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1	CEP170	0	0	19	19	14	1	2	2
235	>sp|P60709|ACTB_HUMAN Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	ACTB	0	0	22	18	19	2	2	114
12834	>sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3	JUP	0	0	19	19	15	20	20	19
16804	>sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3	FARSA	0	0	20	22	19	24	19	23
3337	>sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2	TUFM	0	0	16	18	16	18	16	13
71148	>sp|P42212|GFP_AEQVI Green fluorescent protein OS=Aequorea victoria GN=GFP PE=1 SV=1	GFP	1	0	43	0	0	0	0	0
15282	>sp|P62269|RS18_HUMAN 40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3	RPS18	0	0	28	28	25	29	29	30
3603	>sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	GAPDH	0	0	20	20	20	18	18	14
14653	>sp|Q14498|RBM39_HUMAN RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2	RBM39	0	0	17	15	15	6	4	8
277	>sp|P12235|ADT1_HUMAN ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4	SLC25A4	0	0	2	2	1	2	2	2
3618	>sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens GN=GCN1 PE=1 SV=6	GCN1	0	0	17	12	10	55	62	64
1272	>sp|Q5T9A4|ATD3B_HUMAN ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1	ATAD3B	0	0	4	7	4	4	4	3
407	>sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4	SLC25A6	0	0	14	13	11	12	12	10
3283	>sp|Q5VTE0|EF1A3_HUMAN Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1	EEF1A1P5	0	0	28	32	30	26	25	25
15131	>sp|P04843|RPN1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1	RPN1	0	0	14	17	17	19	17	20
13940	>sp|P17812|PYRG1_HUMAN CTP synthase 1 OS=Homo sapiens GN=CTPS1 PE=1 SV=2	CTPS1	0	0	14	17	13	17	14	17
17093	>sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	CCT3	0	0	14	14	14	21	23	19
3927	>sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	HSPA5	0	0	12	13	12	0	2	2
71004	>P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	Unknown	1	0	14	16	15	10	9	9
36201	>tr|B1ALK7|B1ALK7_HUMAN Rho guanine nucleotide exchange factor 7 OS=Homo sapiens GN=ARHGEF7 PE=1 SV=1	ARHGEF7	0	0	14	18	15	0	0	0
301	>sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2	ABCF2	0	0	15	16	16	16	19	16
2649	>sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	HSPD1	0	0	14	11	10	17	15	11
1340	>sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3	ATP5B	0	0	14	9	13	24	22	21
4841	>sp|O75746|CMC1_HUMAN Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2	SLC25A12	0	0	9	7	8	8	6	9
12358	>sp|Q92621|NU205_HUMAN Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3	NUP205	0	0	16	18	16	45	42	43
6875	>sp|Q5D862|FILA2_HUMAN Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1	FLG2	1	0	14	13	14	10	9	8
7761	>sp|Q86YZ3|HORN_HUMAN Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2	HRNR	1	0	21	15	16	16	21	18
7907	>sp|P60842|IF4A1_HUMAN Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	EIF4A1	0	0	13	13	10	7	8	9
71126	>ENSEMBL:ENSBTAP00000038253 (Bos taurus) 63 kDa protein	Unknown	1	0	1	0	0	0	0	0
71058	>Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytoskeletal 17	Unknown	1	0	5	0	0	0	0	0
1369	>sp|P05023|AT1A1_HUMAN Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1	ATP1A1	0	0	12	9	10	23	21	22
15289	>sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2	RPS4X	0	0	13	13	10	12	14	12
8922	>sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3	PDHB	0	0	10	10	10	11	12	11
7538	>sp|P52272|HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3	HNRNPM	0	0	11	12	12	22	22	22
5979	>sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2	DSG1	0	0	13	17	15	16	13	15
5580	>sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	DDX5	0	0	12	5	10	11	9	10
15379	>sp|Q9Y3Z3|SAMH1_HUMAN Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2	SAMHD1	0	0	13	11	9	8	10	12
6705	>sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	FASN	0	0	13	14	12	18	13	16
10948	>sp|Q02978|M2OM_HUMAN Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens GN=SLC25A11 PE=1 SV=3	SLC25A11	0	0	16	16	15	18	18	15
5909	>sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	EEF2	0	0	13	13	13	18	14	16
12906	>sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3	PLEC	0	0	12	12	8	2	0	2
14929	>sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2	RPL11	0	0	9	9	9	7	7	8
15287	>sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2	RPS17	0	0	23	21	17	30	33	27
9595	>sp|Q8N1N4|K2C78_HUMAN Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2	KRT78	1	0	9	7	8	6	7	6
688	>sp|P68032|ACTC_HUMAN Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1	ACTC1	0	0	2	2	2	7	7	7
988	>sp|P61204|ARF3_HUMAN ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	ARF3	0	0	10	8	10	11	10	10
15277	>sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4	RPS5	0	0	15	15	14	18	17	18
6046	>sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	DYNC1H1	0	0	12	13	10	49	48	41
7306	>sp|Q14161|GIT2_HUMAN ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 PE=1 SV=2	GIT2	0	0	11	17	18	0	0	0
5990	>sp|O60762|DPM1_HUMAN Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1	DPM1	0	0	15	14	7	6	7	8
15281	>sp|P62249|RS16_HUMAN 40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2	RPS16	0	0	14	17	15	15	15	15
12529	>sp|Q96HS1|PGAM5_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2	PGAM5	0	0	14	15	12	12	10	11
12583	>sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6	PFKL	0	0	9	5	7	8	7	5
16945	>sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	TCP1	0	0	11	12	13	21	22	15
11556	>sp|P35580|MYH10_HUMAN Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3	MYH10	0	0	4	3	3	173	164	165
19297	>sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1	XPO1	0	0	10	10	13	25	22	29
14703	>sp|Q14257|RCN2_HUMAN Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1	RCN2	0	0	10	5	7	6	6	6
12124	>sp|P07196|NFL_HUMAN Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3	NEFL	0	0	7	5	3	0	0	0
12156	>sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1	NOP58	0	0	10	13	10	13	14	11
15849	>sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4	PHGDH	0	0	10	10	12	16	13	12
15280	>sp|P62841|RS15_HUMAN 40S ribosomal protein S15 OS=Homo sapiens GN=RPS15 PE=1 SV=2	RPS15	0	0	28	28	28	29	28	28
13872	>sp|P22695|QCR2_HUMAN Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3	UQCRC2	0	0	10	11	6	10	7	9
71091	>Q01546 SWISS-PROT:Q01546 Tax_Id=9606 Gene_Symbol=KRT76 Keratin, type II cytoskeletal 2 oral	Unknown	1	0	1	1	1	0	0	0
11355	>sp|Q00325|MPCP_HUMAN Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2	SLC25A3	0	0	12	13	13	16	12	13
8185	>sp|Q7Z794|K2C1B_HUMAN Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3	KRT77	1	0	4	3	3	0	0	0
9524	>sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7	KRT8	1	0	50	59	60	25	26	29
2400	>sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens GN=CCAR2 PE=1 SV=2	CCAR2	0	0	8	8	10	11	12	12
9039	>sp|Q8N1F7|NUP93_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2	NUP93	0	0	9	12	12	16	22	19
5832	>sp|Q9UBX3|DIC_HUMAN Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2	SLC25A10	0	0	14	11	10	7	7	8
426	>sp|P30837|AL1B1_HUMAN Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3	ALDH1B1	0	0	8	9	7	8	9	8
491	>sp|Q53H12|AGK_HUMAN Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2	AGK	0	0	7	10	8	10	9	9
11803	>sp|O95299|NDUAA_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens GN=NDUFA10 PE=1 SV=1	NDUFA10	0	0	9	8	9	8	5	6
8670	>sp|Q9BSD7|NTPCR_HUMAN Cancer-related nucleoside-triphosphatase OS=Homo sapiens GN=NTPCR PE=1 SV=1	NTPCR	0	0	10	10	5	8	6	9
1025	>sp|P18085|ARF4_HUMAN ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	ARF4	0	0	3	3	2	4	3	2
15261	>sp|P62277|RS13_HUMAN 40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2	RPS13	0	0	10	12	13	14	14	15
10890	>sp|Q8IWC1|MA7D3_HUMAN MAP7 domain-containing protein 3 OS=Homo sapiens GN=MAP7D3 PE=1 SV=2	MAP7D3	0	0	10	6	4	1	0	3
1788	>sp|P48047|ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1	ATP5O	0	0	9	7	5	8	7	7
12103	>sp|Q9Y3C1|NOP16_HUMAN Nucleolar protein 16 OS=Homo sapiens GN=NOP16 PE=1 SV=2	NOP16	0	0	9	9	8	14	10	11
12709	>sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2	PFKP	0	0	5	5	3	1	0	2
13684	>sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2	NPEPPS	0	0	7	8	6	13	12	14
5812	>sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2	DNAJA1	0	0	13	9	11	14	12	14
5602	>sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 PE=1 SV=3	DCTN1	0	0	8	8	5	10	11	8
1056	>sp|P10398|ARAF_HUMAN Serine/threonine-protein kinase A-Raf OS=Homo sapiens GN=ARAF PE=1 SV=2	ARAF	0	0	9	6	7	1	1	1
41	>sp|O95573|ACSL3_HUMAN Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	ACSL3	0	0	7	6	6	7	8	8
7546	>sp|Q9H583|HEAT1_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3	HEATR1	0	0	8	5	6	24	22	20
6093	>sp|P50402|EMD_HUMAN Emerin OS=Homo sapiens GN=EMD PE=1 SV=1	EMD	0	0	6	7	6	7	5	7
1373	>sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	ATP2A2	0	0	8	8	7	14	12	9
13515	>sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2	PRPF8	0	0	9	1	4	15	12	13
14917	>sp|P62750|RL23A_HUMAN 60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1	RPL23A	0	0	13	13	12	15	16	16
71042	>P02754 SWISS-PROT:P02754 Beta-lactoglobulin - Bos taurus (Bovine).	Unknown	1	0	8	6	6	11	9	9
15219	>sp|P04844|RPN2_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3	RPN2	0	0	8	9	9	24	22	19
5631	>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	DDX3X	0	0	7	5	8	8	6	8
10565	>sp|Q14739|LBR_HUMAN Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2	LBR	0	0	8	7	9	8	10	9
8028	>sp|O95373|IPO7_HUMAN Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1	IPO7	0	0	8	6	6	14	12	11
15200	>sp|Q5JTH9|RRP12_HUMAN RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2	RRP12	0	0	7	12	6	21	20	20
4846	>sp|P53618|COPB_HUMAN Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3	COPB1	0	0	8	8	8	8	10	7
4394	>sp|Q00610|CLH1_HUMAN Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	CLTC	0	0	8	7	5	16	17	17
14932	>sp|P62829|RL23_HUMAN 60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	RPL23	0	0	13	15	16	9	9	8
18200	>sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	SNRNP200	0	0	8	5	6	15	13	15
5998	>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2	DDX39A	0	0	9	6	8	5	6	7
8243	>sp|P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4	KRT13	1	0	2	3	0	0	3	1
9544	>sp|O60333|KIF1B_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens GN=KIF1B PE=1 SV=5	KIF1B	0	0	6	5	6	0	0	0
15272	>sp|P62244|RS15A_HUMAN 40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	RPS15A	0	0	8	7	9	7	8	8
14163	>sp|Q6P4A7|SFXN4_HUMAN Sideroflexin-4 OS=Homo sapiens GN=SFXN4 PE=1 SV=1	SFXN4	0	0	8	7	8	7	6	3
5488	>sp|Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2	DDX17	0	0	3	7	3	3	1	2
14897	>sp|P18621|RL17_HUMAN 60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3	RPL17	0	0	10	9	9	8	7	11
687	>sp|Q562R1|ACTBL_HUMAN Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2	ACTBL2	0	0	2	1	0	1	2	3
1506	>sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	ATP5C1	0	0	7	6	6	10	8	7
8186	>sp|P19013|K2C4_HUMAN Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4	KRT4	1	0	1	1	4	3	3	3
1082	>sp|P84085|ARF5_HUMAN ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2	ARF5	0	0	1	1	1	2	3	2
4092	>sp|Q9NRZ9|HELLS_HUMAN Lymphoid-specific helicase OS=Homo sapiens GN=HELLS PE=1 SV=1	HELLS	0	0	8	9	10	14	10	13
15268	>sp|P62266|RS23_HUMAN 40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3	RPS23	0	0	13	11	11	12	12	15
15267	>sp|P62263|RS14_HUMAN 40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	RPS14	0	0	7	8	8	6	4	6
5789	>sp|O60884|DNJA2_HUMAN DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1	DNAJA2	0	0	7	7	4	5	7	7
12402	>sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	NONO	0	0	9	7	7	10	7	8
15244	>sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3	RPS11	0	0	8	6	7	7	7	7
8002	>sp|Q6DN90|IQEC1_HUMAN IQ motif and SEC7 domain-containing protein 1 OS=Homo sapiens GN=IQSEC1 PE=1 SV=1	IQSEC1	0	0	6	4	4	0	0	0
14535	>sp|P62826|RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	RAN	0	0	6	6	5	5	4	5
